City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
hailar,CN,49.2,39.63,58,5,12.68,1635215108
gat,IL,31.61,65.39,87,0,3.44,1635215119
vila velha,BR,-20.3297,73.35,83,90,8.05,1635215129
necochea,AR,-38.5473,49.03,61,24,9.13,1635215140
vao,NC,-22.6667,71.92,76,3,16.17,1635215150
pandan,PH,14.0453,82.38,82,100,9.86,1635215160
kuytun,RU,54.3419,44.28,58,91,9.19,1635215171
jaguaribe,BR,-5.8906,79.7,66,1,10.25,1635215181
de-kastri,RU,51.4667,50.43,59,93,2.28,1635215192
yamada,JP,39.4667,54.3,93,100,5.86,1635215202
auki,SB,-8.7676,87.69,61,59,5.35,1635215213
meulaboh,ID,4.1363,79.25,80,77,3.69,1635215223
alugan,PH,12.2188,84.94,66,100,10.13,1635215233
hovd,MN,48.0056,37.44,42,6,0.78,1635215254
sioux lookout,CA,50.1001,34.18,86,1,3.44,1635215274
les cayes,HT,18.2,77.58,79,85,2.93,1635215285
brae,GB,60.3964,49.91,82,56,15.1,1635215295
kutum,SD,14.2,70.21,25,46,7.47,1635215306
pindi gheb,PK,33.2402,65.43,51,0,0.83,1635215316
la orilla,MX,17.9833,75.27,91,100,6.31,1635215326
kasongo-lunda,CD,-6.4667,67.91,99,86,0.6,1635215337
domoni,KM,-12.2569,77.18,83,57,8.41,1635215347
viedma,AR,-40.8135,52.97,67,62,13.76,1635215358
mahibadhoo,MV,3.7833,82.15,76,100,16.89,1635215368
kano,NG,12.0001,67.89,77,30,2.3,1635215378
la rioja,ES,42.25,42.04,91,0,5.1,1635215389
yuzhno-sukhokumsk,RU,44.6581,39.67,57,34,6.2,1635215399
sorong,ID,-0.8833,84.56,69,15,5.77,1635215410
la ronge,CA,55.1001,41.25,75,90,13.8,1635215420
bang saphan,TH,11.2126,80.55,77,54,9.33,1635215431
beroroha,MG,-21.6667,78.91,53,0,3.78,1635215441
berlevag,NO,70.8578,32.85,82,100,19.33,1635215472
kropotkin,RU,45.4375,36.27,71,16,7.36,1635215482
ossora,RU,59.2353,33.73,79,100,8.88,1635215493
gushikawa,JP,26.3544,79.83,52,20,18.41,1635215503
plettenberg bay,ZA,-34.0527,57.15,86,77,5.97,1635215513
marfino,RU,55.7028,32.14,81,0,13.42,1635215524
belaya gora,RU,68.5333,2.12,93,96,1.12,1635215534
borujerd,IR,33.8973,44.24,45,0,1.9,1635215545
cancun,MX,21.1743,80.53,89,40,3.44,1635215420
vestmannaeyjar,IS,63.4427,44.22,68,94,16.2,1635215565
camacha,PT,33.0833,65.62,68,40,9.22,1635215576
kefalos,GR,36.7453,62.82,63,20,11.5,1635215596
aksarayskiy,RU,46.7924,28.35,72,4,7.83,1635215607
chimbote,PE,-9.0853,62.11,86,100,8.84,1635215627
kitimat,CA,54.0524,46.9,26,100,2.13,1635215422
kieta,PG,-6.2167,83.46,77,28,1.92,1635215648
natal,BR,-5.795,79.45,83,40,9.22,1635215453
bandarbeyla,SO,9.4942,76.1,82,62,1.45,1635215679
marrakesh,MA,31.6315,59.07,88,0,5.75,1635215528
trat,TH,12.5,88.25,67,89,7.56,1635215699
komsomolskiy,UZ,40.4272,45.32,49,50,6.91,1635215709
bandar-e lengeh,IR,26.5579,75.31,69,0,6.91,1635215720
tarakan,ID,3.3,83.7,79,20,4.61,1635215730
baillif,GP,16.0202,74.7,75,18,11.45,1635215741
tsiroanomandidy,MG,-18.7667,69.94,57,89,6.91,1635215751
saint-francois,FR,46.4154,50.68,100,90,1.14,1635215762
sembe,CG,1.6481,69.55,99,100,2.51,1635215773
huaihua,CN,27.5494,58.3,83,100,1.92,1635215783
waddan,LY,29.1614,67.48,37,0,3.49,1635215793
seryshevo,RU,51.0933,45.43,56,98,3.8,1635215804
amagi,JP,33.4167,69.91,22,33,6.93,1635215814
port macquarie,AU,-31.4333,70.9,58,77,8.7,1635215704
kushima,JP,31.4583,69.84,49,0,1.59,1635215845
manisa,TR,38.8333,44.19,60,0,5.5,1635215855
abha,SA,18.2164,58.82,44,0,0.0,1635215866
flin flon,CA,54.7682,40.84,69,100,16.64,1635215876
cabanas,CU,22.9758,79.27,89,100,4.47,1635215897
ahuatempan,MX,18.4167,64.6,80,100,1.45,1635215907
ende,ID,-8.8432,87.4,65,97,3.4,1635215918
yankton,US,42.8711,47.12,76,1,13.8,1635215739
gorele,TR,41.0308,51.24,75,20,5.93,1635215938
dali,CN,25.7,63.52,65,39,3.56,1635215949
palmer,US,42.1584,53.15,84,90,1.99,1635215959
kamarion,GR,36.8,60.75,68,71,23.35,1635215969
el rosario,MX,24.2556,80.8,87,0,1.03,1635215980
timizart,DZ,36.8,57.54,85,99,3.74,1635215990
marsh harbour,BS,26.5412,80.78,80,100,15.19,1635215730
sambava,MG,-14.2667,74.41,80,25,9.91,1635216021
vostok,RU,46.4856,51.91,43,1,5.08,1635216031
tahe,CN,52.3333,42.69,60,81,7.09,1635216042
lesnyye polyany,RU,55.9667,32.22,81,100,10.49,1635216052
san policarpo,PH,12.1791,84.69,67,100,9.66,1635216063
sabang,ID,5.8933,81.3,75,100,5.21,1635216073
kirakira,SB,-10.4544,86.09,65,9,10.4,1635216083
ulkan,RU,57.243,43.2,76,94,16.11,1635216094
riberalta,BO,-10.9833,69.1,94,99,3.0,1635216104
gobabis,,-22.45,63.99,22,0,6.08,1635216115
derbent,RU,42.0678,47.68,76,100,16.22,1635216125
koksovyy,RU,48.1967,29.44,63,3,2.19,1635216135
miri,MY,4.4148,80.74,89,40,3.44,1635215894
yinchuan,CN,38.4681,51.67,27,96,1.68,1635216156
kabare,CD,-2.4683,61.3,86,67,0.58,1635216166
turka,UA,49.1541,30.25,62,7,5.93,1635216177
murshidabad,IN,24.1833,81.21,64,0,4.68,1635216187
lagoa,PT,39.05,67.05,74,0,12.01,1635216135
cumberland,US,35.0502,74.21,86,75,9.22,1635216208
kavieng,PG,-2.5744,83.26,71,57,5.93,1635216129
hit,IQ,33.6416,67.23,33,1,5.79,1635216228
seydi,TM,39.4816,52.68,45,3,8.19,1635216239
abengourou,CI,6.7297,71.35,100,82,2.39,1635216249
santo antonio,BR,-6.3106,78.76,65,100,9.98,1635216270
astorga,BR,-23.2325,70.2,79,98,3.6,1635216280
peterborough,GB,52.5736,49.15,93,75,4.61,1635216291
khandyga,RU,62.6667,31.3,95,100,3.71,1635216102
basco,PH,20.4487,81.19,71,23,22.77,1635216311
garowe,SO,8.4054,71.98,82,61,5.57,1635216332
kilimatinde,TZ,-5.85,68.07,64,74,4.21,1635216342
